iter	RMSE
0	4313.503252
1	4025.55028
2	3781.183065
3	3559.587224
4	3362.602918
5	3184.183531
6	3032.576067
7	2896.88104
8	2778.964132
9	2673.420498
10	2583.224331
11	2500.300079
12	2431.600235
13	2372.116428
14	2313.490429
15	2263.678109
16	2220.883769
17	2185.311796
18	2152.430139
19	2125.331619
20	2095.574812
21	2067.739013
22	2043.202374
23	2022.633726
24	2001.131899
25	1986.706175
26	1968.61739
27	1955.547877
28	1939.954338
29	1927.955476
30	1915.048141
31	1899.866545
32	1889.739946
33	1881.50308
34	1873.012878
35	1862.190533
36	1855.196955
37	1846.629407
38	1839.812554
39	1834.048492
40	1826.698062
41	1820.472245
42	1812.639523
43	1806.329369
44	1801.345608
45	1797.497711
46	1793.264069
47	1789.458511
48	1784.991386
49	1781.167282
50	1776.218923
51	1771.121628
52	1767.479105
53	1764.9447
54	1762.056149
55	1758.186331
56	1753.487068
57	1751.388621
58	1745.898822
59	1743.682164
60	1741.728511
61	1739.033932
62	1736.658123
63	1731.737046
64	1728.752708
65	1727.02812
66	1723.347149
67	1720.910075
68	1717.633055
69	1715.362363
70	1713.530551
71	1711.04193
72	1708.445547
73	1706.2133
74	1703.995779
75	1702.603689
76	1700.068622
77	1698.128774
78	1695.55511
79	1694.258168
80	1693.252993
81	1692.03172
82	1689.967831
83	1687.405394
84	1685.819016
85	1684.351967
86	1683.190842
87	1681.511539
88	1679.732981
89	1678.897941
90	1676.953885
91	1675.670085
92	1674.432787
93	1672.78781
94	1670.783631
95	1668.696616
96	1667.384196
97	1665.249289
98	1663.86693
99	1662.439332
100	1661.089211
101	1660.34661
102	1658.94106
103	1657.526308
104	1656.020796
105	1654.132345
106	1651.880852
107	1648.734735
108	1647.446562
109	1645.883841
110	1644.455516
111	1643.303153
112	1641.134113
113	1640.88721
114	1640.858062
115	1639.062877
116	1637.925104
117	1636.109138
118	1634.860559
119	1633.188006
120	1632.324447
121	1630.454719
122	1628.463368
123	1627.113683
124	1624.891261
125	1623.489387
126	1621.90768
127	1621.727873
128	1620.148693
129	1619.062085
130	1617.931066
131	1616.672086
132	1615.471666
133	1614.5985
134	1613.845923
135	1611.455547
136	1610.286229
137	1609.373162
138	1608.95136
139	1607.308227
140	1606.084047
141	1604.768783
142	1603.923801
143	1602.030153
144	1600.666008
145	1599.468696
146	1598.503706
147	1597.341519
148	1596.65045
149	1595.675866
150	1593.952419
151	1592.543244
152	1591.123604
153	1589.927194
154	1589.816765
155	1588.349059
156	1586.883014
157	1586.257512
158	1585.210648
159	1584.153548
160	1582.717528
161	1581.611911
162	1580.521808
163	1579.782086
164	1579.157975
165	1578.582071
166	1577.960683
167	1577.14304
168	1576.022703
169	1575.173049
170	1574.374034
171	1571.780773
172	1570.341449
173	1568.843786
174	1567.710041
175	1567.414974
176	1566.088779
177	1565.336147
178	1564.185124
179	1562.337654
180	1561.477018
181	1560.197365
182	1558.771297
183	1558.028049
184	1557.561982
185	1556.106508
186	1555.175313
187	1553.735035
188	1553.166508
189	1552.671604
190	1551.396193
191	1550.364485
192	1550.05088
193	1548.599877
194	1548.24803
195	1547.18458
196	1546.217342
197	1544.336961
198	1543.264461
199	1542.15919
