iter	Passed	Remaining
0	80	16012
1	113	11253
2	157	10347
3	212	10413
4	230	9000
5	244	7915
6	266	7340
7	293	7041
8	315	6694
9	333	6329
10	360	6189
11	378	5924
12	395	5689
13	417	5551
14	435	5369
15	449	5173
16	459	4947
17	481	4871
18	508	4845
19	532	4795
20	549	4682
21	564	4567
22	577	4448
23	602	4416
24	617	4323
25	631	4223
26	651	4175
27	670	4117
28	693	4090
29	707	4008
30	717	3910
31	731	3842
32	744	3769
33	776	3789
34	810	3820
35	819	3734
36	840	3701
37	859	3665
38	877	3621
39	889	3556
40	907	3521
41	920	3460
42	930	3396
43	947	3359
44	956	3296
45	975	3265
46	997	3246
47	1009	3196
48	1025	3159
49	1039	3119
50	1054	3080
51	1072	3053
52	1093	3032
53	1113	3009
54	1128	2976
55	1143	2940
56	1156	2901
57	1173	2872
58	1185	2833
59	1199	2799
60	1223	2786
61	1241	2763
62	1258	2737
63	1270	2699
64	1284	2668
65	1303	2646
66	1326	2632
67	1338	2598
68	1352	2566
69	1371	2547
70	1386	2519
71	1407	2502
72	1421	2473
73	1436	2446
74	1448	2413
75	1465	2390
76	1478	2361
77	1498	2343
78	1514	2319
79	1532	2299
80	1544	2268
81	1553	2235
82	1574	2219
83	1597	2206
84	1613	2183
85	1631	2162
86	1644	2136
87	1658	2111
88	1669	2082
89	1687	2062
90	1699	2035
91	1714	2012
92	1727	1987
93	1736	1957
94	1749	1934
95	1771	1918
96	1782	1892
97	1798	1871
98	1809	1846
99	1824	1824
100	1845	1808
101	1873	1800
102	1891	1781
103	1907	1760
104	1921	1738
105	1934	1715
106	1946	1691
107	1959	1669
108	1976	1650
109	1989	1627
110	2001	1605
111	2022	1589
112	2036	1567
113	2049	1545
114	2054	1518
115	2065	1495
116	2084	1478
117	2105	1463
118	2120	1443
119	2136	1424
120	2150	1404
121	2166	1385
122	2179	1364
123	2193	1344
124	2210	1326
125	2228	1308
126	2245	1290
127	2255	1268
128	2275	1252
129	2288	1232
130	2305	1214
131	2317	1193
132	2330	1174
133	2346	1155
134	2360	1136
135	2376	1118
136	2390	1099
137	2403	1079
138	2416	1060
139	2430	1041
140	2445	1023
141	2459	1004
142	2472	985
143	2482	965
144	2498	947
145	2521	932
146	2537	914
147	2552	896
148	2569	879
149	2588	862
150	2602	844
151	2615	826
152	2633	809
153	2644	790
154	2659	772
155	2672	753
156	2689	736
157	2698	717
158	2714	699
159	2730	682
160	2746	665
161	2766	648
162	2779	631
163	2792	612
164	2805	595
165	2821	577
166	2832	559
167	2846	542
168	2870	526
169	2887	509
170	2902	492
171	2918	475
172	2930	457
173	2945	440
174	2965	423
175	2978	406
176	2991	388
177	3007	371
178	3020	354
179	3031	336
180	3050	320
181	3075	304
182	3095	287
183	3109	270
184	3124	253
185	3139	236
186	3154	219
187	3175	202
188	3192	185
189	3205	168
190	3221	151
191	3236	134
192	3254	118
193	3268	101
194	3280	84
195	3295	67
196	3309	50
197	3331	33
198	3345	16
199	3355	0
